Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
12;1184552;Форма банка (без печати работодателя);Ремонт;1;0.48;мужской;0;0;среднее-специальное;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184572;2НДФЛ;Ремонт;1;0.31;женский;0;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>250;0;38;30;Торговля;ООО;женат / замужем;3;3;1;1;1;0;1;1;1;1;0.5;1;1;15;2;0;0;1;16;0;0;0;0;0;0;0
12;1184592;Поступление зарплаты на счет;Ремонт;1;0.36;женский;1;0;среднее-специальное;рабочий;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184612;2НДФЛ;Ремонт;1;0.45;женский;3;0;второе высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184632;Форма банка (без печати работодателя);Ремонт;1;0.26;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184652;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;высшее;специалист;>250;3;244;52;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184672;Свободная форма с печатью работодателя;Ремонт;0;0.21;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184692;Форма банка (без печати работодателя);Ремонт;1;0.26;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;19;47;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184712;Поступление зарплаты на счет;Ремонт;1;0.35;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184732;2НДФЛ;Ремонт;1;0.32;мужской;0;0;высшее;рабочий;>250;0;22;32;Торговля;ОАО;холост / не замужем;1;1;1;1;1;0;1;0;0;0;0;0;2;29;2;0;0;35;78;0;0;0;0;0;0;0
12;1184752;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.42;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;47;49;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184772;Свободная форма с печатью работодателя;Ремонт;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184792;Форма банка (без печати работодателя);Ремонт;0;0.31;мужской;0;0;высшее;менеджер среднего звена;>250;0;37;58;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184812;Форма банка (без печати работодателя);Ремонт;0;0.38;мужской;1;0;среднее-специальное;рабочий;>250;0;16;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184832;Поступление зарплаты на счет;Покупка автомобиля;1;0.56;женский;0;0;высшее;специалист;>250;0;40;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184852;Форма банка (без печати работодателя);Ремонт;0;0.48;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;71;39;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184872;2НДФЛ;Ремонт;0;0.26;мужской;1;0;высшее;вспомогательный персонал;< 50;0;7;36;Другое;ООО;холост / не замужем;2;2;2;1;1;0.0425531915;0;1;0;0;0.1666666667;1;5;45;6;1;1;4;89;1;0;0;0;0;0;0
12;1184892;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;менеджер среднего звена;>250;0;46;35;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;3;3;146;6;3;2;21;76;0;0;0;0;0;0;0
12;1184912;2НДФЛ;Ремонт;1;0.42;мужской;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1184932;2НДФЛ;Покупка недвижимости/ строительство;0;0.26;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;25;48;Другое;Иная форма;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;25;1;0;0;24;24;0;0;0;0;0;0;0
12;1184952;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.39;женский;1;0;высшее;специалист;< 50;0;57;35;Торговля;ООО;холост / не замужем;2;1;1;1;1;0.1772727273;1;0;0;0;0.1333333333;2;13;181;15;0;1;8;101;1;1;1;1;0;0;0
12;1184972;2НДФЛ;Ремонт;1;0.58;женский;0;0;высшее;рабочий;>250;0;14;44;Торговля;ООО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
12;1184992;2НДФЛ;Покупка автомобиля;0;;женский;1;0;высшее;вспомогательный персонал;;0;11;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185012;Форма банка (без печати работодателя);Покупка бытовой техники;0;0.38;мужской;1;0;среднее;вспомогательный персонал;>250;0;31;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185032;2НДФЛ;Покупка автомобиля;1;0.34;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>250;0;14;27;Информационные технологии;ЗАО;гражданский брак;2;2;2;2;2;0;1;0;0;0;1;1;0;11;1;1;0;16;16;0;0;0;0;0;0;0
12;1185052;2НДФЛ;Покупка автомобиля;1;0.48;женский;0;0;высшее;рабочий;>250;0;8;27;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;7;1;0;0;74;74;0;0;0;0;0;0;0
12;1185072;Поступление зарплаты на счет;Покупка автомобиля;0;0.24;женский;1;0;высшее;менеджер среднего звена;>250;0;147;34;Торговля;ООО;женат / замужем;1;1;1;1;1;0;1;0;0;0;1;1;0;31;1;1;0;86;86;0;0;0;0;0;0;0
12;1185092;Форма банка (без печати работодателя);Ремонт;1;0.2;мужской;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185112;2НДФЛ;Ремонт;0;0.59;мужской;1;0;среднее-специальное;специалист;>250;0;77;41;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185132;2НДФЛ;Покупка автомобиля;0;0.41;мужской;0;0;высшее;рабочий;>250;3;17;25;Другое;ОАО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
12;1185152;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.34;мужской;0;0;высшее;специалист;>250;0;18;26;Торговля;ООО;женат / замужем;1;1;1;0;0;0.0073529412;0;0;0;0;0.4375;7;9;135;16;3;1;6;88;1;0;0;0;0;0;0
12;1185172;2НДФЛ;Ремонт;0;0.53;мужской;2;0;*n.a.*;менеджер среднего звена;>250;0;86;41;Другое;ОАО;женат / замужем;2;2;1;1;1;0.0173611111;1;0;0;0;0.1538461538;2;11;283;13;1;4;5;94;1;0;0;0;0;0;0
12;1185192;Свободная форма с печатью работодателя;Ремонт;0;0.24;женский;1;0;второе высшее;торговый представитель;>250;0;60;30;Торговля;ООО;женат / замужем;0;0;0;0;0;0.2407407407;1;0;0;0;0.25;2;6;123;8;2;2;13;98;1;1;1;1;1;1;1
12;1185212;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;0;28;26;Другое;ООО;женат / замужем;2;2;0;0;0;0.0769230769;1;0;0;0;0.3;4;6;96;10;1;1;9;87;1;0;0;0;0;0;0
12;1185232;Форма банка (без печати работодателя);Ремонт;1;0.51;женский;0;0;среднее-специальное;специалист;>250;0;66;48;Торговля;ЗАО;женат / замужем;2;1;1;1;1;0;0;2;1;1;0.3333333333;4;8;85;12;4;1;0;33;0;0;0;0;0;0;0
12;1185252;2НДФЛ;Ремонт;0;0.4;женский;2;0;среднее-специальное;менеджер среднего звена;>250;3;28;40;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0111111111;1;2;0;0;0.375;4;4;89;8;4;0;2;87;1;0;0;0;0;0;0
